Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/1/07,2.58,0.136,241.97,10.6,0,0,0
1/1/07,2.552,0.1,241.75,10.4,0,0,0
1/1/07,2.55,0.1,241.64,10.4,0,0,0
1/1/07,2.55,0.1,241.71,10.4,0,0,0
1/1/07,2.554,0.1,241.98,10.4,0,0,0
1/1/07,2.55,0.1,241.83,10.4,0,0,0
1/1/07,2.534,0.096,241.07,10.4,0,0,0
1/1/07,2.484,0,241.29,10.2,0,0,0
1/1/07,2.468,0,241.23,10.2,0,0,0
1/1/07,2.486,0,242.18,10.2,0,0,0
1/1/07,2.492,0,242.46,10.2,0,0,0
1/1/07,2.5,0,242.88,10.2,0,0,0
1/1/07,2.494,0,242.57,10.2,0,0,0
1/1/07,2.602,0.216,240.5,10.8,0,1,0
1/1/07,2.594,0.214,240.08,10.8,0,2,0
1/1/07,2.6,0.216,240.5,10.8,0,1,0
1/1/07,2.602,0.216,240.65,10.8,0,1,0
1/1/07,2.6,0.216,240.68,10.8,0,1,0
1/1/07,2.598,0.216,240.69,10.8,0,1,0
1/1/07,2.59,0.214,240.3,10.8,0,2,0
1/1/07,2.554,0.148,240.85,10.6,0,1,0
1/1/07,2.484,0,240.98,10.2,0,0,0
1/1/07,2.472,0,241.4,10.2,0,0,0
1/1/07,2.486,0,242.11,10.2,0,0,0
1/1/07,2.486,0,242.12,10.2,0,0,0
1/1/07,2.482,0,241.96,10.2,0,0,0
1/1/07,2.484,0,241.98,10.2,0,0,0
1/1/07,2.48,0,241.84,10.2,0,0,0
1/1/07,2.458,0,240.63,10.2,0,0,0
1/1/07,2.46,0,240.81,10.2,0,0,0
1/1/07,2.462,0,240.82,10.2,0,0,0
1/1/07,2.472,0,241.39,10.2,0,0,0
1/1/07,2.466,0,241.09,10.2,0,0,0
1/1/07,2.466,0,241.09,10.2,0,0,0
1/1/07,2.59,0.118,241.79,10.6,0,0,0
2/1/07,0.372,0,241.82,1.6,0,0,0
2/1/07,0.37,0,241.38,1.6,0,0,0
2/1/07,0.374,0,242.36,1.6,0,0,0
2/1/07,0.378,0,243.64,1.6,0,0,0
2/1/07,0.376,0,242.99,1.6,0,0,0
2/1/07,0.376,0,243.21,1.6,0,0,0
2/1/07,0.376,0,243.39,1.6,0,0,0
2/1/07,0.376,0,243.56,1.6,0,0,0
2/1/07,0.376,0,243.3,1.6,0,0,0
2/1/07,0.376,0,243.21,1.6,0,0,0
2/1/07,0.412,0.056,243.61,1.8,0,0,0
2/1/07,0.452,0.134,243.72,1.8,0,0,0
2/1/07,0.506,0.186,243.44,2.2,0,0,0
2/1/07,0.562,0.268,243.1,2.6,0,0,0
2/1/07,0.556,0.268,242.9,2.4,0,0,0
2/1/07,0.554,0.268,243.05,2.4,0,0,0
2/1/07,0.55,0.266,242.72,2.4,0,0,0
2/1/07,0.546,0.264,242.37,2.4,0,0,0
2/1/07,0.532,0.248,243.17,2.4,0,0,0
2/1/07,0.474,0.162,242.75,2,0,0,0
2/1/07,0.47,0.158,242.08,2,0,0,0
2/1/07,0.47,0.16,242.18,2,0,0,0
2/1/07,0.476,0.172,244.44,2,0,0,0
2/1/07,0.48,0.182,246.14,2,0,0,0
2/1/07,0.478,0.178,245.49,2,0,0,0
2/1/07,0.478,0.178,245.34,2,0,0,0
2/1/07,0.476,0.176,245.17,2,0,0,0
2/1/07,0.458,0.148,245.23,2,0,0,0
2/1/07,0.382,0,245.08,1.6,0,0,0
2/1/07,0.382,0,245.23,1.6,0,0,0
2/1/07,0.382,0,245.09,1.6,0,0,0
2/1/07,0.382,0,245.12,1.6,0,0,0
2/1/07,0.382,0,245.06,1.6,0,0,0
2/1/07,0.382,0,244.87,1.6,0,0,0
2/1/07,0.378,0,243.87,1.6,0,0,0
2/1/07,0.38,0,244.16,1.6,0,0,0
2/1/07,0.38,0,244.45,1.6,0,0,0
2/1/07,0.38,0,244.73,1.6,0,0,0
2/1/07,0.382,0,245.17,1.6,0,0,0
2/1/07,0.382,0,245.33,1.6,0,0,0
2/1/07,0.384,0,245.47,1.6,0,0,0
2/1/07,0.388,0,247.03,1.6,0,0,0
2/1/07,0.39,0.046,247.41,1.6,0,0,0
2/1/07,0.388,0,247.18,1.6,0,0,0
2/1/07,0.388,0,247.1,1.6,0,0,0
2/1/07,0.388,0,247.28,1.6,0,0,0
2/1/07,0.386,0,246.54,1.6,0,0,0
2/1/07,0.384,0,245.88,1.6,0,0,0
2/1/07,0.386,0,246.31,1.6,0,0,0
2/1/07,0.386,0,246.61,1.6,0,0,0
2/1/07,0.384,0,245.89,1.6,0,0,0
2/1/07,0.384,0,245.73,1.6,0,0,0
2/1/07,0.384,0,246,1.6,0,0,0
2/1/07,0.44,0.092,245.38,2,0,0,0
2/1/07,0.454,0.138,244.3,2,0,0,0
2/1/07,0.456,0.14,244.49,2,0,0,0
2/1/07,0.456,0.138,244.32,2,0,0,0
2/1/07,0.456,0.14,244.44,2,0,0,0
2/1/07,0.5,0.182,244.92,2.2,0,0,0
2/1/07,0.566,0.284,245.35,2.6,0,0,0
2/1/07,0.562,0.286,245.54,2.6,0,0,0
2/1/07,0.512,0.21,245.96,2.2,0,0,0
2/1/07,0.488,0.176,245.45,2,0,0,0
2/1/07,0.49,0.182,246.21,2,0,0,0
2/1/07,0.488,0.18,246.02,2,0,0,0
2/1/07,0.484,0.178,245.59,2,0,0,0
2/1/07,0.484,0.18,245.77,2,0,0,0
2/1/07,0.482,0.178,245.69,2,0,0,0
2/1/07,0.484,0.182,246.39,2,0,0,0
2/1/07,0.482,0.18,245.97,2,0,0,0
2/1/07,0.478,0.174,244.99,2,0,0,0
2/1/07,0.478,0.178,245.55,2,0,0,0
2/1/07,0.474,0.17,244.29,2,0,0,0
2/1/07,0.412,0.078,243.58,1.8,0,0,0
2/1/07,0.374,0,242.54,1.6,0,0,0
2/1/07,0.376,0,242.89,1.6,0,0,0
2/1/07,0.376,0,242.96,1.6,0,0,0
2/1/07,0.378,0,243.27,1.6,0,0,0
